time,volatage(V),current(A),temperature(C),irradiance(W/m^2),state
21/04/2025,61.2,8.151,53,422.4,unsafe
21/04/2025,66.17,10.307,49,219.1,warning
21/04/2025,66.64,8.649,68,794.7,warning
21/04/2025,64.33,12.178,65,873.2,warning
21/04/2025,61.5,13.913,72,1047.5,warning
21/04/2025,68.03,13.925,48,622,unsafe
21/04/2025,70.47,9.917,50,444.7,warning
21/04/2025,63.48,10.091,49,201.1,unsafe
21/04/2025,62.46,12.901,44,545,warning
21/04/2025,60.1,8.809,77,361.1,safe
21/04/2025,67.01,12.707,76,448.5,unsafe
21/04/2025,62.09,8.298,75,857.9,warning
21/04/2025,70.49,8.519,73,1076.8,unsafe
21/04/2025,69.92,12.469,62,635.2,safe
21/04/2025,69.24,12.866,51,638.9,safe
21/04/2025,67.46,11.839,53,942.7,safe
21/04/2025,70.79,9.906,85,928.6,unsafe
21/04/2025,68.42,12.805,54,734.4,safe
21/04/2025,67.68,13.255,69,645.8,unsafe
21/04/2025,60.57,8.008,59,724.4,safe
21/04/2025,68.12,8.712,78,548.7,warning
21/04/2025,60.23,9.839,44,454.3,unsafe
21/04/2025,62.87,12.347,60,774.8,unsafe
21/04/2025,71.57,10.803,76,310,unsafe
21/04/2025,61.07,12.001,71,778.2,unsafe
21/04/2025,66.57,13.184,82,851.1,warning
21/04/2025,62.33,11.164,66,920.5,warning
21/04/2025,60.57,9.028,51,277.7,unsafe
21/04/2025,65.64,13.096,49,481.1,unsafe
21/04/2025,69.46,10.558,64,211.9,warning
21/04/2025,70.09,8.149,49,497.3,warning
21/04/2025,67.82,9.977,64,871.3,safe
21/04/2025,69.39,11.728,74,998.5,unsafe
21/04/2025,66.03,9.083,63,286.2,safe
21/04/2025,67.97,13.709,84,231.2,safe
21/04/2025,60.35,13.727,84,1018.5,unsafe
21/04/2025,66.66,8.781,51,277.6,safe
21/04/2025,61.85,13.345,45,1069.1,safe
21/04/2025,63.85,8.479,64,827.2,safe
21/04/2025,71.09,12.196,63,706.9,warning
21/04/2025,70.94,9.079,81,1017.3,warning
21/04/2025,70.9,12.411,49,1042.8,warning
21/04/2025,62.65,12.089,61,956.7,safe
21/04/2025,64.28,11.311,67,355.9,unsafe
21/04/2025,66.01,13.866,44,489.5,unsafe
21/04/2025,63.05,10.357,47,581.1,safe
21/04/2025,69.71,13.661,67,865.1,unsafe
21/04/2025,69.16,11.715,81,263.7,safe
21/04/2025,61.47,11.827,46,823.8,warning
21/04/2025,63.66,12.57,62,466.7,unsafe
21/04/2025,65.98,11.828,64,790.9,unsafe
21/04/2025,63.63,8.971,45,877.8,warning
21/04/2025,68.18,11.889,66,808,unsafe
21/04/2025,61.22,9.108,40,378.3,safe
21/04/2025,60.49,13.286,62,265.7,unsafe
21/04/2025,67.91,11.28,56,305.8,warning
21/04/2025,60.52,8.09,43,375.9,unsafe
21/04/2025,70.02,8.688,82,955.3,warning
21/04/2025,62.26,12.722,69,771.3,unsafe
21/04/2025,71.38,9.639,54,717.8,warning
21/04/2025,69.43,10.222,76,581.9,safe
21/04/2025,65.4,11.612,43,1081.9,safe
21/04/2025,60.16,11.187,61,332.2,unsafe
21/04/2025,66.13,11.663,47,1072.2,safe
21/04/2025,65.88,8.14,73,1006.5,unsafe
21/04/2025,70.53,10.3,79,771.4,safe
21/04/2025,62.75,11.884,80,514,safe
21/04/2025,65.51,11.738,83,242.7,warning
21/04/2025,61.69,12.86,61,232.5,safe
21/04/2025,71.29,12.095,78,533.7,warning
21/04/2025,67.99,8.997,55,838.5,safe
21/04/2025,63.3,10.791,41,652.6,safe
21/04/2025,67.05,8.599,62,860.2,safe
21/04/2025,62.27,12.442,48,722.3,unsafe
21/04/2025,70.84,13.973,55,841.3,warning
21/04/2025,65.03,9.653,57,947.6,warning
21/04/2025,66.06,13.983,43,446.4,safe
21/04/2025,68.23,13.826,60,454.9,warning
21/04/2025,70.41,12.2,75,1023.2,safe
21/04/2025,71.36,11.069,82,1009.9,safe
21/04/2025,66.56,9.696,82,656.4,warning
21/04/2025,63.9,13.141,80,254.7,warning
21/04/2025,61.62,9.963,84,239.9,warning
21/04/2025,70.75,9.716,81,384.1,safe
21/04/2025,62.21,11.15,48,636,unsafe
21/04/2025,69.59,9.058,65,658.3,safe
21/04/2025,65.57,8.269,63,924.5,warning
21/04/2025,71.85,11.204,76,220.9,safe
21/04/2025,65.34,12.554,82,390.5,warning
21/04/2025,70.35,10.754,72,382.5,warning
21/04/2025,67.38,9.101,62,584.7,safe
21/04/2025,67.62,12.31,64,550.6,unsafe
21/04/2025,65.29,9.508,75,803.1,warning
21/04/2025,67.41,12.936,48,738.7,warning
21/04/2025,70.16,8.5,83,978.2,warning
21/04/2025,66.09,8.989,46,857.3,unsafe
21/04/2025,63.28,13.764,47,838,safe
21/04/2025,66.32,11.747,51,686.4,unsafe
21/04/2025,65.75,8.26,79,938.5,warning
21/04/2025,71.27,12.184,53,237,warning
21/04/2025,62.35,12.288,77,704,safe
21/04/2025,71.97,9.095,65,251.3,safe
21/04/2025,67.39,8.929,44,293,safe
21/04/2025,62.82,13.545,69,617.5,unsafe
21/04/2025,70.58,9.248,63,599.4,unsafe
21/04/2025,62.18,11.911,79,824.8,warning
21/04/2025,66.18,12.209,48,1033.2,safe
21/04/2025,60.05,8.971,69,737.8,unsafe
21/04/2025,67.26,9.711,84,895.9,warning
21/04/2025,66.28,11.881,67,535.2,warning
21/04/2025,62.86,12.803,54,1041.6,warning
21/04/2025,65.58,11.496,81,373,warning
21/04/2025,65.49,13.59,62,482.7,unsafe
21/04/2025,71.75,8.376,81,366.5,unsafe
21/04/2025,66.42,13.631,49,338.3,warning
21/04/2025,70.8,8.58,76,940.4,safe
21/04/2025,64.22,9.855,54,402.6,warning
21/04/2025,63.1,8.31,85,402.1,safe
21/04/2025,68.45,11.292,71,479.4,unsafe
21/04/2025,62.89,9.518,65,792.2,warning
21/04/2025,69.33,10.446,40,1082.3,safe
21/04/2025,63.46,10.352,57,913.9,safe
21/04/2025,67.69,8.361,55,700.4,safe
21/04/2025,60.12,11.745,40,965.8,unsafe
21/04/2025,63.28,11.783,61,537.1,warning
21/04/2025,60.36,10.238,50,901.2,unsafe
21/04/2025,69.86,9.471,56,825.9,unsafe
21/04/2025,66.57,8.258,60,211,unsafe
21/04/2025,71.76,13.894,49,732.8,unsafe
21/04/2025,65.48,10.796,50,300.9,warning
21/04/2025,61.31,10.8,48,887.2,safe
21/04/2025,71.9,11.026,40,579.1,warning
21/04/2025,69.8,10.217,65,1091.1,safe
21/04/2025,60.33,12.38,72,302.4,warning
22/04/2025,71.54,11.547,44,261,safe
22/04/2025,64.35,8.188,85,1049,warning
22/04/2025,65.51,12.049,71,845.9,safe
22/04/2025,70.58,9.377,42,812.9,safe
22/04/2025,67.21,9.59,53,968.4,safe
22/04/2025,71.95,11.687,64,553.2,unsafe
22/04/2025,61.03,13.988,51,975.7,warning
22/04/2025,68.82,11.186,70,497.1,unsafe
22/04/2025,67.65,8.979,65,706.4,safe
22/04/2025,65.06,11.959,76,757.5,unsafe
22/04/2025,71.28,9.856,77,572.1,unsafe
22/04/2025,64.88,10.551,69,685.6,safe
22/04/2025,63.65,13.206,61,207.8,safe
22/04/2025,65.39,8.963,49,332.3,warning
22/04/2025,60.97,12.925,76,255.3,safe
22/04/2025,69.42,10.826,47,239.7,safe
22/04/2025,68.42,10.046,78,723.6,unsafe
22/04/2025,68.83,12.741,75,290.7,safe
22/04/2025,64.65,13.732,55,581.9,safe
22/04/2025,68.17,9.343,49,688.3,unsafe
22/04/2025,65.5,8.642,68,433.6,warning
22/04/2025,64.93,13.94,45,573.9,unsafe
22/04/2025,71.16,8.761,51,305.1,unsafe
22/04/2025,66.26,13.563,72,918.6,warning
22/04/2025,65.26,11.315,49,781.9,warning
22/04/2025,67.34,10.097,42,994,unsafe
22/04/2025,71.42,12.344,44,1055.8,warning
22/04/2025,64.96,12.567,80,775.8,safe
22/04/2025,68.35,8.886,47,816.1,unsafe
22/04/2025,68.32,12.839,84,939.9,unsafe
22/04/2025,61.34,8.072,40,810.8,unsafe
22/04/2025,61.54,9.781,65,720.8,safe
22/04/2025,65.68,11.366,83,899.7,safe
22/04/2025,70.11,11.772,63,555.8,safe
22/04/2025,68.11,9.15,68,917.2,unsafe
22/04/2025,65.45,11.628,71,839.5,safe
22/04/2025,71.74,10.981,67,794.7,unsafe
22/04/2025,60.57,8.295,74,719,warning
22/04/2025,61.2,13.168,55,659.6,unsafe
22/04/2025,70.59,8.599,63,1032.7,warning
22/04/2025,69.85,8.56,42,395.6,safe
22/04/2025,70.8,11.501,64,588.5,warning
22/04/2025,67.02,13.721,56,690.3,unsafe
22/04/2025,60.62,11.029,63,831.4,warning
22/04/2025,65.53,12.081,79,557.7,safe
22/04/2025,68.63,9.908,71,621.8,unsafe
22/04/2025,70.6,9.24,52,477.6,unsafe
22/04/2025,69.36,13.908,44,827.4,unsafe
22/04/2025,68.99,8.452,61,622.2,safe
22/04/2025,68.76,8.174,51,999.6,safe
22/04/2025,70.56,10.792,59,651.6,safe
22/04/2025,70.24,12.778,65,640.6,unsafe
22/04/2025,64.03,11.471,72,777.2,safe
22/04/2025,70.91,10.154,67,263.6,safe
22/04/2025,71.6,8.274,52,321.6,warning
22/04/2025,69.15,8.954,64,584.1,safe
22/04/2025,65.05,11.294,80,589.7,unsafe
22/04/2025,68.33,12.788,45,994.7,unsafe
22/04/2025,66.86,8.97,50,940.3,safe
22/04/2025,60.56,10.062,76,959.4,warning
22/04/2025,69.53,13.899,61,943.5,warning
22/04/2025,63.6,12.993,80,484.2,unsafe
22/04/2025,71.44,9.979,64,331.9,unsafe
22/04/2025,63.61,12.607,69,991.3,warning
22/04/2025,70.5,10.312,66,205.8,warning
22/04/2025,66.62,13.471,67,605.6,unsafe
22/04/2025,65.09,13.236,71,294.6,warning
22/04/2025,67.38,8.491,44,819.7,safe
22/04/2025,64.92,10.224,58,700.6,unsafe
22/04/2025,64.2,11.308,51,455.1,safe
22/04/2025,61.14,12.008,56,200.8,safe
22/04/2025,65.09,11.36,83,206.3,unsafe
22/04/2025,70.37,10.705,68,609.1,unsafe
22/04/2025,70.41,13.407,56,588.6,unsafe
22/04/2025,71.69,8.937,49,217.3,safe
22/04/2025,66.45,11.391,60,423,warning
22/04/2025,69.2,12.128,52,255.7,safe
22/04/2025,66.53,12.669,78,381.6,unsafe
22/04/2025,60.41,10.924,80,662.6,warning
22/04/2025,71.82,10.003,46,473.2,warning
22/04/2025,61.58,9.219,52,646.8,warning
22/04/2025,64.34,8.088,70,286.2,warning
22/04/2025,71.79,12.668,65,1008.7,warning
22/04/2025,66.98,9.342,62,209.7,safe
22/04/2025,60.93,13.229,46,392.6,safe
22/04/2025,61.35,11.843,76,899.5,safe
22/04/2025,69.73,9.902,50,773.2,warning
22/04/2025,60.74,11.624,81,470.5,unsafe
22/04/2025,71.2,10.128,44,507,safe
22/04/2025,70.07,13.555,75,655.2,warning
22/04/2025,63.36,9.12,53,1080.1,unsafe
22/04/2025,64.37,13.608,74,522.1,unsafe
22/04/2025,64.97,8.654,48,290.4,unsafe
22/04/2025,70.92,10.152,51,786.8,warning
22/04/2025,68.68,8.764,45,386,unsafe
22/04/2025,69.43,9.102,79,379,warning
22/04/2025,60.61,13.356,64,523.5,warning
22/04/2025,70.17,10.801,56,612.4,warning
22/04/2025,69.65,10.137,53,275.1,safe
22/04/2025,71.35,12.692,61,495.9,safe
22/04/2025,65.1,8.116,83,425.5,safe
22/04/2025,67.46,8.977,68,366.8,warning
22/04/2025,69.01,9.049,49,745.6,warning
22/04/2025,61.99,12.932,68,722.1,warning
22/04/2025,65.43,8.765,77,383.7,safe
22/04/2025,62.76,8.828,48,341.3,warning
22/04/2025,70.45,9.575,64,689,unsafe
22/04/2025,62.4,11.079,55,839.5,warning
22/04/2025,60.59,12.923,69,476.5,safe
22/04/2025,62.58,11.141,74,206.6,warning
22/04/2025,63.48,12.433,50,517.2,warning
22/04/2025,65.39,9.956,81,1035.4,unsafe
22/04/2025,71.92,12.882,51,268.8,safe
22/04/2025,67.75,11.511,59,485,unsafe
22/04/2025,66.55,9.971,85,719.4,safe
22/04/2025,71.18,8.376,63,571.3,warning
22/04/2025,66.42,8.358,69,415.1,warning
22/04/2025,66.47,13.661,43,609.4,warning
22/04/2025,62.81,9.271,52,870.5,safe
22/04/2025,62.55,13.826,81,865.5,unsafe
22/04/2025,62.62,10.702,48,1071.5,warning
22/04/2025,62.15,8.851,70,347.1,safe
22/04/2025,66.27,10.635,47,634.3,safe
22/04/2025,69.18,9.046,55,1011.5,unsafe
22/04/2025,69.73,9.068,55,375.7,safe
22/04/2025,67.56,8.622,79,381.5,unsafe
22/04/2025,61.6,12.574,81,732.4,unsafe
22/04/2025,71.4,8.238,80,1084.3,unsafe
22/04/2025,71.23,10.753,56,476.1,safe
22/04/2025,69.39,8.569,79,446,unsafe
22/04/2025,66.58,10.791,71,342.9,safe
22/04/2025,65.63,11.014,77,882.2,unsafe
22/04/2025,62.73,9.532,48,205.5,unsafe
22/04/2025,71.21,13.687,70,434,safe
22/04/2025,71.37,9.191,47,795.5,warning
22/04/2025,66.17,9.905,69,1080,warning
22/04/2025,62.54,11.226,63,749.5,safe
22/04/2025,69.76,11.655,43,986.2,warning
22/04/2025,62.32,13.772,80,714,unsafe
22/04/2025,69.85,10.132,85,842,unsafe
22/04/2025,61.92,13.782,52,620,safe
22/04/2025,61.99,12.033,59,838.9,unsafe
22/04/2025,61.59,9.565,40,751.1,unsafe
22/04/2025,61.3,12.031,66,766.8,safe
22/04/2025,70.78,8.884,65,973.6,unsafe
22/04/2025,65.78,10.387,44,639.3,safe
22/04/2025,62.84,9.601,84,857.3,warning
22/04/2025,68.79,13.132,50,846.7,warning
22/04/2025,63.96,9.708,69,1095.2,warning
22/04/2025,63.63,11.662,57,684.3,safe
22/04/2025,71.51,11.412,60,875.9,safe
22/04/2025,63.85,11.283,60,943.1,safe
22/04/2025,64.84,11.525,40,523.5,safe
22/04/2025,71.24,13.816,67,290.5,unsafe
22/04/2025,67.07,10.976,41,1074.5,unsafe
22/04/2025,64.06,9.722,56,466.6,unsafe
22/04/2025,71.87,13.821,61,1007.1,unsafe
22/04/2025,61.84,13.315,79,523.9,safe
22/04/2025,70.78,8.149,41,1043.2,warning
22/04/2025,70.23,11.174,79,808.2,warning
22/04/2025,69.21,13.868,76,403.1,warning
22/04/2025,62.15,10.339,79,647.4,unsafe
22/04/2025,70.66,12.696,76,473.8,warning
22/04/2025,66.56,9.07,74,1088.9,safe
22/04/2025,65.21,12.084,75,382.4,warning
22/04/2025,62.28,13.094,79,1076.5,safe
22/04/2025,63.92,11.992,85,1081.6,safe
22/04/2025,63.31,8.575,79,795.4,unsafe
22/04/2025,64.19,10.335,85,596,safe
22/04/2025,66.02,12.544,63,611.1,safe
22/04/2025,66.18,12.138,59,499.2,safe
22/04/2025,66.55,9.898,82,805.5,safe
22/04/2025,61.04,13.688,61,892.7,safe
22/04/2025,71.26,12.68,71,971.6,unsafe
22/04/2025,70.1,11.56,84,305,warning
22/04/2025,61.56,9.041,48,464.7,warning
22/04/2025,62.17,9.29,42,651.8,warning
22/04/2025,68.76,10.282,67,383.3,safe
22/04/2025,68.04,13.017,68,795.3,safe
22/04/2025,62.23,11.988,85,359.6,warning
22/04/2025,60.96,9.967,70,876.7,unsafe
22/04/2025,63.21,9.27,46,492.4,warning
22/04/2025,64.28,9.842,73,439.1,warning
22/04/2025,70.48,11.547,53,864.3,warning
22/04/2025,65.08,11.22,56,390.7,warning
22/04/2025,71.11,10.082,79,451.4,unsafe
22/04/2025,67.4,10.694,54,549.5,unsafe
22/04/2025,61.34,11.689,50,577.4,safe
22/04/2025,69.05,12.117,47,566.9,unsafe
22/04/2025,67.29,13.928,59,1073.9,safe
22/04/2025,64.51,10.704,54,535.6,safe
22/04/2025,64.7,9.302,73,282.7,safe
22/04/2025,69.63,10.98,40,787.7,safe
22/04/2025,62.55,10.431,43,1049.6,safe
22/04/2025,70.57,12.52,45,895.1,warning
22/04/2025,61.13,10.91,78,763.5,warning
22/04/2025,60.38,9.623,40,668.5,safe
22/04/2025,61.99,8.621,70,935,warning
22/04/2025,67.17,13.711,82,834.8,unsafe
22/04/2025,68.85,13.612,54,634,warning
22/04/2025,70.62,9.029,82,285.4,warning
22/04/2025,70.85,13.809,60,688,unsafe
22/04/2025,63.96,8.994,63,633.8,unsafe
22/04/2025,65.02,13.248,46,449.4,warning
22/04/2025,71.75,9.104,85,1041.7,warning
22/04/2025,68.43,12.628,50,524.5,warning
22/04/2025,60.64,12.155,47,226.1,warning
22/04/2025,61.33,11.626,52,816.9,unsafe
22/04/2025,64.92,8.131,79,896.2,safe
22/04/2025,62.08,11.881,40,792.9,unsafe
22/04/2025,71.86,10.03,52,514.4,unsafe
22/04/2025,70.63,11.99,85,837.6,warning
22/04/2025,66.54,12.536,74,356.5,safe
22/04/2025,65.72,8.739,48,612.4,safe
22/04/2025,62.11,9.941,48,779.3,safe
22/04/2025,70.75,12.941,70,246.2,safe
22/04/2025,61.63,8.139,58,943,safe
22/04/2025,68.43,11.589,78,475.9,safe
22/04/2025,65.59,10.389,46,264,unsafe
22/04/2025,70.14,10.118,46,520.2,unsafe
22/04/2025,63.78,11.72,81,946.2,safe
22/04/2025,66.3,11.864,42,569.5,safe
22/04/2025,64.53,13.514,58,931.5,warning
22/04/2025,66.91,13.053,60,929,warning
22/04/2025,63.33,10.393,46,727.3,safe
22/04/2025,61.13,11.332,75,848,safe
22/04/2025,62.72,11.301,78,1049,unsafe
22/04/2025,67.84,8.214,69,804.4,safe
22/04/2025,68.48,11.641,79,441.2,warning
22/04/2025,63.55,9.119,77,681.6,safe
22/04/2025,60.59,12.365,73,343.1,warning
22/04/2025,66.41,11.893,73,837.8,safe
22/04/2025,60.73,10.893,51,924.3,safe
22/04/2025,68.2,10.868,76,1048.8,safe
22/04/2025,69,11.385,55,892.9,warning
22/04/2025,65.26,13.409,72,723.8,unsafe
22/04/2025,66.64,9.08,73,428.7,warning
22/04/2025,69.58,13.754,62,824,unsafe
22/04/2025,71.79,8.785,70,1088.1,safe
22/04/2025,63.35,12.874,76,873,unsafe
22/04/2025,60.9,12.993,63,574.8,warning
22/04/2025,65.83,12.211,43,810.4,warning
22/04/2025,65.16,13.347,56,907.5,warning
22/04/2025,65.17,9.393,71,293.9,unsafe
22/04/2025,61.67,9.459,80,354.7,unsafe
22/04/2025,63.21,9.589,82,642.9,unsafe
22/04/2025,70.62,12.082,75,954.1,safe
22/04/2025,69.62,13.096,70,260.5,unsafe
22/04/2025,66.87,11.1,77,251.3,safe
22/04/2025,66.14,8.749,48,533.2,safe
22/04/2025,65.25,10.392,58,745.9,warning
23/04/2025,64.6,8.948,57,299.2,unsafe
23/04/2025,63.24,9.721,71,1077.9,warning
23/04/2025,65.55,9.67,73,677.6,warning
23/04/2025,63.52,12.269,45,700,warning
23/04/2025,66.01,13.689,55,222,unsafe
23/04/2025,69.61,9.278,52,670,safe
23/04/2025,63.72,9.694,54,826.4,unsafe
23/04/2025,61.46,9.615,82,570.3,unsafe
23/04/2025,68.69,13.202,64,665.5,warning
23/04/2025,62.95,11.387,78,625.5,safe
23/04/2025,63.21,11.013,65,899,safe
23/04/2025,62.57,9.195,53,990.6,unsafe
23/04/2025,64.99,13.72,83,446.7,safe
23/04/2025,71.29,9.514,65,858,warning
23/04/2025,60.99,10.674,85,1019.4,unsafe
23/04/2025,63.32,12.558,40,948.2,safe
23/04/2025,60.04,10.278,72,594.9,warning
23/04/2025,62.9,13.766,42,936.4,warning
23/04/2025,71.28,8.302,54,588,safe
23/04/2025,64.83,11.727,41,1064.8,safe
23/04/2025,68.48,8.494,53,703.5,warning
23/04/2025,65.05,10.286,52,422.3,warning
23/04/2025,65.53,11.79,67,316.9,unsafe
23/04/2025,66.63,8.02,82,232.6,safe
23/04/2025,66.05,9.119,77,923.2,warning
23/04/2025,71.36,9.593,48,804.6,unsafe
23/04/2025,62.73,12.958,45,976.9,warning
23/04/2025,61.58,12.185,46,1072.6,warning
23/04/2025,65.65,11,43,275.1,safe
23/04/2025,67.12,9.257,85,887.6,safe
23/04/2025,60.57,8.959,54,1086.8,warning
23/04/2025,65.77,12.805,67,518.7,safe
23/04/2025,70.85,10.291,45,772.8,safe
23/04/2025,66.44,12.358,80,782.7,safe
23/04/2025,68.98,11.464,62,771.2,unsafe
23/04/2025,61.88,13.969,71,536.5,safe
23/04/2025,64.21,9.626,40,544,warning
23/04/2025,67.43,13.476,81,239.5,unsafe
23/04/2025,65.15,8.425,48,852.7,unsafe
23/04/2025,70.31,11.474,76,950.4,warning
23/04/2025,67.67,9.373,80,604.7,warning
23/04/2025,64.68,10.852,51,673.7,safe
23/04/2025,64.59,12.688,77,255,warning
23/04/2025,61.98,8.526,45,611.4,safe
23/04/2025,71.77,9.596,61,386.2,unsafe
23/04/2025,68.77,9.219,50,224.2,safe
23/04/2025,68.59,10.353,55,926,safe
23/04/2025,67.8,9.371,74,304.6,safe
23/04/2025,60.21,10.06,60,970.3,unsafe
23/04/2025,71.84,10.857,49,548.9,safe
23/04/2025,71.01,11.908,65,1050.5,unsafe
23/04/2025,69.8,10.622,49,944.1,warning
23/04/2025,70.32,12.855,46,238.7,safe
23/04/2025,61.38,11.653,81,514.3,safe
23/04/2025,71.09,10.949,83,1090.8,unsafe
23/04/2025,68.82,9.454,49,480.2,unsafe
23/04/2025,68.91,11.558,66,707.6,safe
23/04/2025,62.61,10.106,85,816.6,warning
23/04/2025,61.25,8.1,65,1014.1,unsafe
23/04/2025,69.34,10.056,52,491.9,unsafe
23/04/2025,71.64,12.666,51,860.5,warning
23/04/2025,64.87,12.103,42,1009.7,unsafe
23/04/2025,67.39,11.656,78,709.2,unsafe
23/04/2025,68.69,8.34,78,630.1,warning
23/04/2025,69.43,11.463,64,313,warning
23/04/2025,60.52,8.636,81,766.6,warning
23/04/2025,64.18,11.953,67,298,unsafe
23/04/2025,68.26,9.35,68,977,safe
23/04/2025,67.63,9.797,53,652.8,unsafe
23/04/2025,61.67,12.557,60,411.6,safe
23/04/2025,62.41,8.283,54,602.9,unsafe
23/04/2025,64.94,13.947,51,618.3,unsafe
23/04/2025,67.43,11.368,83,510.8,safe
23/04/2025,60.74,9.711,41,534,safe
23/04/2025,70.74,8.59,77,1055.7,warning
23/04/2025,64.55,8.284,75,1076.9,safe
23/04/2025,70.83,8.289,57,895.3,unsafe
